iter	Passed	Remaining
697	29871	15577
698	29911	15533
699	29958	15492
700	30002	15450
701	30046	15408
702	30089	15365
703	30132	15323
704	30179	15282
705	30222	15239
706	30265	15196
707	30307	15153
708	30346	15108
709	30388	15065
710	30429	15022
711	30474	14980
712	30518	14938
713	30560	14894
714	30611	14856
715	30654	14813
716	30706	14774
717	30747	14731
718	30792	14689
719	30837	14647
720	30887	14608
721	30937	14568
722	30979	14525
723	31022	14482
724	31067	14441
725	31109	14397
726	31155	14356
727	31195	14312
728	31239	14269
729	31279	14225
730	31319	14181
731	31360	14137
732	31404	14095
733	31449	14053
734	31491	14010
735	31533	13967
736	31575	13923
737	31616	13880
738	31660	13838
739	31704	13795
740	31752	13754
741	31791	13710
742	31834	13667
743	31877	13624
744	31918	13581
745	31962	13538
746	32008	13497
747	32056	13456
748	32099	13413
749	32143	13371
750	32185	13328
751	32234	13288
752	32275	13244
753	32321	13202
754	32375	13164
755	32415	13120
756	32456	13077
757	32499	13034
758	32546	12992
759	32589	12949
760	32632	12907
761	32683	12867
762	32723	12823
763	32766	12780
764	32806	12736
765	32851	12694
766	32897	12652
767	32943	12611
768	32990	12569
769	33032	12526
770	33072	12482
771	33113	12439
772	33156	12396
773	33199	12353
774	33240	12309
775	33282	12266
776	33327	12224
777	33368	12180
778	33411	12138
779	33454	12095
780	33495	12051
781	33541	12009
782	33583	11966
783	33627	11924
784	33670	11881
785	33710	11837
786	33757	11795
787	33797	11751
788	33841	11709
789	33887	11667
790	33934	11626
791	33979	11584
792	34025	11541
793	34067	11498
794	34115	11457
795	34157	11414
796	34199	11371
797	34241	11327
798	34284	11285
799	34327	11242
800	34371	11199
801	34411	11155
802	34456	11113
803	34497	11070
804	34542	11027
805	34584	10984
806	34626	10941
807	34667	10897
808	34707	10854
809	34749	10810
810	34790	10767
811	34834	10724
812	34875	10681
813	34921	10639
814	34966	10597
815	35008	10554
816	35055	10512
817	35097	10469
818	35138	10425
819	35180	10382
820	35217	10337
821	35254	10293
822	35293	10249
823	35330	10204
824	35366	10159
825	35404	10115
826	35441	10071
827	35478	10026
828	35514	9981
829	35553	9937
830	35596	9895
831	35636	9851
832	35673	9807
833	35717	9764
834	35756	9720
835	35795	9676
836	35837	9633
837	35876	9590
838	35914	9545
839	35951	9501
840	35991	9457
841	36035	9415
842	36078	9372
843	36117	9328
844	36153	9284
845	36191	9240
846	36229	9196
847	36266	9152
848	36305	9108
849	36345	9065
850	36383	9021
851	36419	8976
852	36456	8932
853	36492	8888
854	36529	8843
855	36564	8799
856	36601	8755
857	36637	8711
858	36671	8666
859	36705	8621
860	36743	8577
861	36777	8533
862	36813	8488
863	36850	8444
864	36887	8400
865	36923	8356
866	36961	8313
867	36998	8269
868	37035	8225
869	37071	8181
870	37109	8137
871	37147	8094
872	37183	8049
873	37221	8006
874	37261	7963
875	37301	7920
876	37339	7876
877	37377	7833
878	37417	7789
879	37453	7746
880	37491	7702
881	37529	7659
882	37569	7615
883	37604	7571
884	37640	7528
885	37676	7484
886	37712	7440
887	37749	7396
888	37784	7352
889	37821	7309
890	37857	7265
891	37893	7221
892	37932	7178
893	37972	7135
894	38010	7092
895	38046	7048
896	38084	7005
897	38121	6962
898	38158	6918
899	38195	6875
900	38231	6831
901	38273	6789
902	38309	6745
903	38346	6702
904	38384	6658
905	38420	6615
906	38460	6572
907	38497	6529
908	38535	6486
909	38572	6442
910	38611	6399
911	38651	6357
912	38690	6314
913	38727	6270
914	38768	6228
915	38808	6185
916	38850	6143
917	38890	6100
918	38927	6057
919	38966	6014
920	39005	5971
921	39042	5928
922	39080	5885
923	39117	5842
924	39157	5799
925	39195	5756
926	39232	5713
927	39267	5670
928	39307	5627
929	39342	5584
930	39376	5540
931	39414	5497
932	39451	5454
933	39486	5411
934	39525	5368
935	39569	5326
936	39607	5283
937	39644	5240
938	39681	5197
939	39715	5154
940	39752	5111
941	39791	5068
942	39828	5026
943	39865	4983
944	39902	4940
945	39938	4897
946	39973	4854
947	40009	4811
948	40046	4768
949	40082	4725
950	40119	4682
951	40159	4640
952	40195	4597
953	40232	4554
954	40268	4511
955	40307	4469
956	40346	4426
957	40383	4384
958	40423	4341
959	40461	4299
960	40500	4256
961	40536	4213
962	40573	4171
963	40608	4128
964	40645	4085
965	40683	4043
966	40724	4000
967	40770	3959
968	40811	3916
969	40853	3874
970	40894	3832
971	40937	3790
972	40985	3748
973	41028	3706
974	41070	3664
975	41113	3622
976	41155	3580
977	41202	3538
978	41246	3496
979	41288	3454
980	41332	3412
981	41378	3370
982	41421	3328
983	41473	3287
984	41516	3245
985	41562	3203
986	41615	3162
987	41670	3121
988	41721	3079
989	41763	3037
990	41813	2995
991	41854	2953
992	41896	2911
993	41938	2869
994	41990	2827
995	42041	2785
996	42079	2743
997	42121	2701
998	42162	2658
999	42203	2616
1000	42246	2574
1001	42289	2532
1002	42336	2490
1003	42381	2448
1004	42425	2406
1005	42471	2364
1006	42518	2322
